citing_doi,ref_doi,ref_key,ref_author,ref_year,ref_title,ref_journal,raw,citing_affiliations,citing_affiliation_countries,citing_latitude_mean,citing_longitude_mean,citing_affiliation_locations_json,citing_affiliation_cities,citing_affiliation_states,citing_journal_name,citing_doi_norm
10.1002/adem.202500508,10.1080/10667857.2024.2417295,e_1_2_9_15_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.vacuum.2020.109943,e_1_2_9_16_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.jallcom.2020.158193,e_1_2_9_17_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.jmrt.2024.10.146,e_1_2_9_18_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.physb.2012.05.026,e_1_2_9_19_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.msea.2011.05.004,e_1_2_9_20_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.ijhydene.2010.06.007,e_1_2_9_21_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.3390/ma18010072,e_1_2_9_22_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,,e_1_2_9_23_1,,,,,J. W.Strutt (Lord Rayleigh) inProceedings of the Royal of London London1879 Vol.29 p.71.,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1007/s12666-018-1433-6,e_1_2_9_24_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
